ts,value,time_ms,time_s
1575300565.0479245,32.0,15:29:25.047925,15:29:25
1575300565.098078,32.0,15:29:25.098078,15:29:25
1575300565.1482186,32.0,15:29:25.148219,15:29:25
1575300570.8229325,32.0,15:29:30.822932,15:29:30
1575300570.873069,32.0,15:29:30.873069,15:29:30
1575300570.9231944,32.0,15:29:30.923194,15:29:30
1575300570.973332,32.0,15:29:30.973332,15:29:30
1575300573.0319672,32.0,15:29:33.031967,15:29:33
1575300573.0820992,48.0,15:29:33.082099,15:29:33
1575300573.132275,48.0,15:29:33.132275,15:29:33
1575300573.1824114,48.0,15:29:33.182411,15:29:33
1575300573.2325428,48.0,15:29:33.232543,15:29:33
1575300573.2826908,32.0,15:29:33.282691,15:29:33
1575300573.6840265,32.0,15:29:33.684026,15:29:33
1575300573.734198,32.0,15:29:33.734198,15:29:33
1575300573.7843316,32.0,15:29:33.784332,15:29:33
1575300574.1854386,32.0,15:29:34.185439,15:29:34
1575300574.2355676,32.0,15:29:34.235568,15:29:34
1575300574.2856946,32.0,15:29:34.285695,15:29:34
1575300574.335822,32.0,15:29:34.335822,15:29:34
1575300574.385952,32.0,15:29:34.385952,15:29:34
1575300574.7368774,48.0,15:29:34.736877,15:29:34
1575300574.7870095,48.0,15:29:34.787009,15:29:34
1575300574.8371415,48.0,15:29:34.837142,15:29:34
1575300574.8875012,32.0,15:29:34.887501,15:29:34
1575300829.2476351,32.0,15:33:49.247635,15:33:49
